n_reach,label,win_loose,converted_time,time,lable_types
155,d,0,4:31:49,271:49:00,
156,s2,1,4:33:19,273:19:00,
157,m,0,4:34:48,274:48:00,
158,s2,1,4:37:32,277:32:00,
159,s2,1,4:39:02,279:02:00,
160,m,0,4:40:32,280:32:00,
161,s1,1,4:43:15,283:15:00,
162,d,0,4:44:45,284:45:00,
163,d,0,4:46:15,286:15:00,
164,s1,1,4:47:43,287:43:00,
165,s1,1,4:49:12,289:12:00,
166,m,0,4:50:42,290:42:00,
167,s1,1,4:53:26,293:26:00,
168,d,0,4:54:55,294:55:00,
169,d,0,4:56:25,296:25:00,
170,s1,1,4:57:55,297:55:00,
171,d,0,5:00:38,300:38:00,
172,s1,1,5:02:08,302:08:00,
173,m,0,5:03:37,303:37:00,
174,m,0,5:06:21,306:21:00,
175,s2,1,5:09:10,309:10:00,
176,s1,1,5:10:34,310:34:00,
177,s1,1,5:12:03,312:03:00,
178,s1,1,5:13:33,313:33:00,
179,d,0,5:15:02,315:02:00,
180,m,0,5:16:31,316:31:00,
181,m,0,5:19:15,319:15:00,
182,m,0,5:21:58,321:58:00,
183,d,0,5:24:42,324:42:00,
184,m,0,5:26:10,326:10:00,
185,s2,1,5:28:54,328:54:00,
186,m,0,5:30:23,330:23:00,
187,d,0,5:33:08,333:08:00,
188,d,0,5:35:52,335:52:00,
189,s1,1,5:37:21,337:21:00,
190,m,0,5:38:49,338:49:00,
191,m,0,5:40:18,340:18:00,
192,d,0,5:43:02,343:02:00,
193,s1,1,5:44:32,344:32:00,
194,m,0,5:46:01,346:01:00,
195,s1,1,5:47:29,347:29:00,
196,s1,1,5:48:58,348:58:00,
197,s1,1,5:50:27,350:27:00,
198,d,0,5:53:11,353:11:00,
199,m,0,5:54:40,354:40:00,
200,s1,1,5:57:24,357:24:00,48% success at reach 200
201,m,0,5:58:52,358:52:00,
202,m,0,6:01:36,361:36:00,
203,d,0,6:03:05,363:05:00,
204,s1,1,6:04:35,364:35:00,
205,m,0,6:07:19,367:19:00,
206,m,0,6:10:02,370:02:00,
207,d,0,6:12:46,372:46:00,
208,s1,1,6:14:16,374:16:00,
209,d,0,6:15:46,375:46:00,
210,s1,1,6:18:31,378:31:00,
211,s1,1,6:20:00,380:00:00,
212,d,0,6:21:30,381:30:00,
213,d,0,6:22:59,382:59:00,
214,m,0,6:24:28,384:28:00,
215,d,0,6:27:12,387:12:00,
216,s1,1,6:28:41,388:41:00,
217,d,0,6:30:09,390:09:00,
218,s1,1,6:31:39,391:39:00,
219,m,0,6:33:09,393:09:00,
220,d,0,6:35:53,395:53:00,
221,s1,1,6:37:21,397:21:00,
222,d,0,6:38:49,398:49:00,
223,m,0,6:40:19,400:19:00,
224,s1,1,6:43:03,403:03:00,
225,m,0,6:44:32,404:32:00,
226,m,0,6:47:15,407:15:00,
227,m,0,6:48:45,408:45:00,
228,lh,1,6:51:29,411:29:00,
229,d,0,6:52:58,412:58:00,
230,m,0,6:54:27,414:27:00,
231,s1,1,6:55:56,415:56:00,
232,d,0,6:57:25,417:25:00,
233,s1,1,6:58:53,418:53:00,
234,d,0,7:00:22,420:22:00,
235,s2,1,7:01:51,421:51:00,
236,s1,1,7:03:20,423:20:00,
237,d,0,7:04:50,424:50:00,
238,d,0,7:06:20,426:20:00,
239,m,0,7:08:22,428:22:00,
240,m,0,7:11:07,431:07:00,
241,s2,1,7:12:36,432:36:00,
242,m,0,7:14:06,434:06:00,
243,m,0,7:15:36,435:36:00,
244,s1,1,7:18:20,438:20:00,
245,s2,1,7:21:03,441:03:00,
246,m,0,7:22:33,442:33:00,
247,s1,1,7:25:17,445:17:00,
248,s1,1,7:26:47,446:47:00,
249,s1,1,7:28:17,448:17:00,
250,m,0,7:29:45,449:45:00,46% success at reach 250
251,d,0,7:31:22,451:22:00,
252,m,0,7:32:52,452:52:00,
253,s2,1,7:35:35,455:35:00,
254,m,0,7:37:03,457:03:00,
255,d,0,7:39:47,459:47:00,
256,d,0,7:41:17,461:17:00,
257,s1,1,7:42:47,462:47:00,
258,d,0,7:44:16,464:16:00,
259,d,0,7:45:44,465:44:00,
260,m,0,7:47:13,467:13:00,
261,s1,1,7:49:57,469:57:00,
262,s1,1,7:51:26,471:26:00,
263,d,0,7:52:55,472:55:00,
264,m,0,7:54:25,474:25:00,
265,s1,1,7:57:10,477:10:00,
266,d,0,7:58:38,478:38:00,
267,s1,1,8:00:08,480:08:00,
268,s2,1,8:01:37,481:37:00,
269,s1,1,8:03:06,483:06:00,
270,m,0,8:04:35,484:35:00,
271,s1,1,8:07:18,487:18:00,
272,s2,1,8:08:48,488:48:00,
273,m,0,8:10:17,490:17:00,
274,d,0,8:13:01,493:01:00,
275,d,0,8:14:30,494:30:00,
276,s2,1,8:15:58,495:58:00,
277,d,0,8:17:28,497:28:00,
278,s2,1,8:18:57,498:57:00,45% success at reach 278
