probe,roi_filter,n_units,n_events,trial_evr_pc1,traj_evr_pc1
A,IN_ROI,554,3006,0.5002299547195435,0.3939289152622223
B,IN_ROI,245,3006,0.27523231506347656,0.3375222980976105
C,IN_ROI,355,3006,0.23359942436218262,0.3874790072441101
D,IN_ROI,820,3006,0.290458083152771,0.43209657073020935
E,IN_ROI,190,3006,0.21656864881515503,0.27794376015663147
F,IN_ROI,156,3006,0.2023835927248001,0.35359543561935425
